
2025/03/25 (16:02:02) | ===> btop++ v.1.4.0
2025/03/25 (16:02:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/25 (16:11:05) | ===> btop++ v.1.4.0
2025/03/25 (16:11:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (01:31:00) | ===> btop++ v.1.4.0
2025/03/26 (01:31:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (16:35:45) | ===> btop++ v.1.4.0
2025/03/26 (16:35:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (16:36:23) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (16:38:55) | ===> btop++ v.1.4.0
2025/03/26 (16:38:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (16:38:56) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (16:39:26) | ===> btop++ v.1.4.0
2025/03/26 (16:39:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/26 (16:51:11) | WARNING: Failed to join _runner thread on exit!
